site_name,city,state_ut,country,latitude,longitude,license_status,capacity,contact_email,regulation_zone
Pragati Care Hub,Nagpur,,India,21.186112,79.350248,active,753,ops-3258@nagpur.in,IN
Pragati Community Hospital,Visakhapatnam,,India,17.986427,83.14788,active,657,ops-1139@visakhapatnam.in,IN
Pragati Medical Post,Vadodara,,India,22.183029,73.428143,active,1012,ops-6679@vadodara.in,IN
Sahyog Care Hub,Rajkot,,India,22.405217,70.935439,pending,524,ops-1194@rajkot.in,IN
Ujjwal Health Centre,Surat,,India,21.121537,73.147842,active,582,ops-7512@surat.in,IN
Ujjwal Care Hub,Indore,,India,22.905162,75.956568,active,930,ops-8773@indore.in,IN
Disha Medical Post,Amritsar,,India,31.562071,74.8315,active,526,ops-8679@amritsar.in,IN
Asha Health Centre,Agra,,India,27.089154,77.948927,active,644,ops-2406@agra.in,IN
Ujjwal Medical Post,Vasai-Virar,,India,19.422614,72.966767,pending,471,ops-7843@vasai-virar.in,IN
Asha Health Centre,Varanasi,,India,25.334848,82.601673,active,744,ops-1493@varanasi.in,IN
Nirmal Clinic,Visnagar,,India,23.757531,72.560467,active,441,ops-3102@visnagar.in,IN
Asha Health Centre,Ranchi,,India,23.579644,84.94065,active,876,ops-6810@ranchi.in,IN
Jatan Medical Post,Kalyan,,India,19.149227,72.630115,pending,1233,ops-7974@kalyan.in,IN
Asha Care Hub,Madurai,,India,10.076522,78.027243,active,1120,ops-5909@madurai.in,IN
Sanjeevani Health Centre,Mumbai,,India,19.177457,73.000078,pending,1028,ops-1527@mumbai.in,IN
Jeevan Health Centre,Agra,,India,27.370895,78.098475,active,863,ops-7404@agra.in,IN
Shraddha Medical Post,Rajkot,,India,22.171706,70.725037,active,1032,ops-2043@rajkot.in,IN
Seva Community Hospital,Nagpur,,India,21.306842,78.956325,active,1027,ops-8778@nagpur.in,IN
Jatan Community Hospital,Visnagar,,India,23.566729,72.49578,active,1385,ops-8397@visnagar.in,IN
Seva Care Hub,Kolkata,,India,22.729855,88.417157,active,705,ops-3808@kolkata.in,IN
Disha Care Hub,Kanpur,,India,26.404826,80.196665,active,1219,ops-1525@kanpur.in,IN
Sanjeevani Health Centre,Ranchi,,India,23.246777,85.128028,active,607,ops-1439@ranchi.in,IN
Nirmal Health Centre,Chennai,,India,13.304729,80.215081,active,979,ops-7322@chennai.in,IN
Jatan Care Hub,Thane,,India,19.370527,72.836286,pending,1357,ops-5769@thane.in,IN
Aarogya Community Hospital,Chennai,,India,13.191624,80.574304,pending,580,ops-8449@chennai.in,IN
Sanjeevani Community Hospital,Kochi,,India,10.013173,76.036732,active,775,ops-1180@kochi.in,IN
Sanjeevani Clinic,Kalyan,,India,18.937871,73.099771,active,799,ops-7407@kalyan.in,IN
Jeevan Medical Post,Jaipur,,India,26.76808,76.064681,active,1359,ops-9789@jaipur.in,IN
Ujjwal Health Centre,Chennai,,India,13.042231,80.188268,active,627,ops-7373@chennai.in,IN
Jeevan Medical Post,Indore,,India,22.74362,75.743921,active,779,ops-6075@indore.in,IN
Jagruti Health Centre,Lucknow,,India,26.641649,80.856146,active,798,ops-6084@lucknow.in,IN
Nirmal Health Centre,Coimbatore,,India,10.940795,77.208148,active,1054,ops-8519@coimbatore.in,IN
Sahyog Clinic,New Delhi,,India,28.78025,77.287116,active,952,ops-3337@newdelhi.in,IN
Shraddha Community Hospital,Rajkot,,India,22.438246,70.796689,active,801,ops-5044@rajkot.in,IN
Sahyog Medical Post,Visnagar,,India,23.68512,72.607548,pending,607,ops-9043@visnagar.in,IN
Disha Clinic,Visnagar,,India,23.685454,72.401479,pending,580,ops-1640@visnagar.in,IN
Asha Community Hospital,Vadodara,,India,22.196371,73.073479,active,941,ops-8476@vadodara.in,IN
Jeevan Health Centre,Rajkot,,India,22.308716,70.964266,active,646,ops-3869@rajkot.in,IN
Sahyog Medical Post,Kanpur,,India,26.349786,80.420843,active,823,ops-8079@kanpur.in,IN
Jeevan Clinic,Kanpur,,India,26.206039,80.371416,active,611,ops-2565@kanpur.in,IN
Nirmal Care Hub,Bhopal,,India,23.249886,77.438931,active,846,ops-3587@bhopal.in,IN
Disha Health Centre,Vadodara,,India,22.404588,73.174103,active,1018,ops-2093@vadodara.in,IN
Pragati Care Hub,Ranchi,,India,23.30849,85.484307,active,1064,ops-7738@ranchi.in,IN
Seva Clinic,Ahmedabad,,India,23.358865,72.537263,pending,860,ops-7041@ahmedabad.in,IN
Jeevan Medical Post,Coimbatore,,India,10.976937,76.835299,active,677,ops-6341@coimbatore.in,IN
Ujjwal Care Hub,Lucknow,,India,26.834237,80.765739,revoked,1257,ops-5141@lucknow.in,IN
Aarogya Clinic,Bengaluru,,India,12.995791,77.760725,active,678,ops-8572@bengaluru.in,IN
Asha Medical Post,Srinagar,,India,34.213267,74.575233,active,1126,ops-7244@srinagar.in,IN
Aarogya Clinic,Nagpur,,India,21.104603,79.052002,active,529,ops-7499@nagpur.in,IN
Disha Health Centre,Visakhapatnam,,India,17.865251,83.43663,active,727,ops-2878@visakhapatnam.in,IN
Sahyog Medical Post,Ludhiana,,India,30.685668,75.86822,active,347,ops-8606@ludhiana.in,IN
Shraddha Health Centre,Chennai,,India,13.067232,80.35119,pending,1227,ops-2352@chennai.in,IN
Sahyog Community Hospital,Varanasi,,India,25.513758,82.989674,active,844,ops-3297@varanasi.in,IN
Aarogya Care Hub,Lucknow,,India,26.947674,81.044993,pending,641,ops-3794@lucknow.in,IN
Nirmal Clinic,Pune,,India,18.3673,73.970437,active,693,ops-3903@pune.in,IN
Sanjeevani Clinic,Madurai,,India,9.642297,78.399019,active,361,ops-7403@madurai.in,IN
Sanjeevani Medical Post,New Delhi,,India,28.572147,77.25203,pending,668,ops-5476@newdelhi.in,IN
Ujjwal Clinic,Nashik,,India,19.958366,73.798965,active,1131,ops-3915@nashik.in,IN
Sahyog Clinic,Madurai,,India,9.997322,78.132189,active,603,ops-4541@madurai.in,IN
Jeevan Community Hospital,Kochi,,India,10.052085,76.280782,active,767,ops-2684@kochi.in,IN
Jagruti Clinic,Varanasi,,India,25.364612,82.859861,active,798,ops-1858@varanasi.in,IN
Pragati Health Centre,Hyderabad,,India,17.453447,78.567914,active,1017,ops-7183@hyderabad.in,IN
Ujjwal Health Centre,Bhopal,,India,23.028543,77.221219,active,632,ops-7138@bhopal.in,IN
Jeevan Clinic,Kolkata,,India,23.039588,88.522704,active,791,ops-1262@kolkata.in,IN
Ujjwal Clinic,New Delhi,,India,28.813762,77.372879,active,818,ops-6523@newdelhi.in,IN
Pragati Health Centre,Thane,,India,19.074219,73.037398,active,949,ops-2582@thane.in,IN
Jeevan Care Hub,Lucknow,,India,26.807603,81.203837,pending,968,ops-1721@lucknow.in,IN
Asha Care Hub,Pune,,India,18.518457,73.944803,pending,959,ops-6359@pune.in,IN
Shraddha Medical Post,Nagpur,,India,21.367137,79.294954,active,294,ops-4393@nagpur.in,IN
Ujjwal Health Centre,Vasai-Virar,,India,19.245436,72.849831,active,708,ops-2979@vasai-virar.in,IN
Asha Health Centre,Pune,,India,18.516212,74.120794,active,809,ops-6842@pune.in,IN
Jatan Community Hospital,New Delhi,,India,28.543427,77.180811,active,589,ops-7588@newdelhi.in,IN
Ujjwal Medical Post,New Delhi,,India,28.623453,77.24497,pending,849,ops-7376@newdelhi.in,IN
Jatan Community Hospital,Thane,,India,19.402697,72.923756,active,1075,ops-2081@thane.in,IN
Seva Health Centre,Faridabad,,India,28.250831,77.436784,active,1103,ops-1719@faridabad.in,IN
Pragati Care Hub,Kalyan,,India,19.151755,73.042983,active,613,ops-5940@kalyan.in,IN
Disha Care Hub,Ranchi,,India,23.306257,85.261061,active,832,ops-2668@ranchi.in,IN
Nirmal Clinic,Visnagar,,India,23.8313,72.598357,active,925,ops-3809@visnagar.in,IN
Jatan Medical Post,Jodhpur,,India,26.305653,72.94679,pending,228,ops-6314@jodhpur.in,IN
Sanjeevani Community Hospital,Jaipur,,India,27.171757,76.023095,active,741,ops-6440@jaipur.in,IN
Asha Clinic,Guwahati,,India,26.200396,91.436409,active,753,ops-2106@guwahati.in,IN
Jeevan Care Hub,Jodhpur,,India,26.429931,73.128884,active,592,ops-8354@jodhpur.in,IN
Jagruti Clinic,Thane,,India,19.212163,73.021042,active,871,ops-9248@thane.in,IN
Jagruti Clinic,Thane,,India,19.442554,72.959753,active,1251,ops-1347@thane.in,IN
Disha Medical Post,Ghaziabad,,India,28.708784,77.152076,active,835,ops-4873@ghaziabad.in,IN
Aarogya Health Centre,Bhopal,,India,23.257015,77.065283,active,1032,ops-2300@bhopal.in,IN
Nirmal Health Centre,Faridabad,,India,28.335423,77.096808,active,661,ops-9171@faridabad.in,IN
Ujjwal Clinic,Surat,,India,21.160791,72.971515,active,921,ops-7156@surat.in,IN
Disha Community Hospital,Bhopal,,India,23.157255,77.582295,active,1429,ops-8270@bhopal.in,IN
Asha Clinic,Jaipur,,India,26.796701,75.673003,active,451,ops-5556@jaipur.in,IN
Jatan Community Hospital,Kochi,,India,9.982618,76.327659,active,1026,ops-7797@kochi.in,IN
Disha Community Hospital,Mumbai,,India,19.359955,72.621949,pending,769,ops-4752@mumbai.in,IN
Ujjwal Care Hub,Agra,,India,27.151182,77.846721,active,1094,ops-4969@agra.in,IN
Pragati Health Centre,Hyderabad,,India,17.407124,78.808606,active,697,ops-5068@hyderabad.in,IN
Shraddha Community Hospital,Jodhpur,,India,26.027915,73.137789,active,673,ops-7250@jodhpur.in,IN
Jatan Clinic,Kanpur,,India,26.475399,80.341075,active,748,ops-8247@kanpur.in,IN
Seva Health Centre,Chennai,,India,12.93748,80.347302,active,1196,ops-9055@chennai.in,IN
Ujjwal Health Centre,Hyderabad,,India,17.49152,78.475293,pending,397,ops-3318@hyderabad.in,IN
Jagruti Care Hub,Kolkata,,India,22.621973,88.405669,active,751,ops-3845@kolkata.in,IN
Shraddha Clinic,Indore,,India,23.024471,75.696953,active,1352,ops-4871@indore.in,IN
Nirmal Health Centre,Vasai-Virar,,India,19.26029,72.79504,pending,797,ops-8652@vasai-virar.in,IN
Jeevan Health Centre,Nagpur,,India,20.990374,79.279952,active,981,ops-5012@nagpur.in,IN
Nirmal Community Hospital,Jodhpur,,India,26.127098,72.935138,active,802,ops-5079@jodhpur.in,IN
Jatan Health Centre,Visnagar,,India,23.5445,72.406769,active,513,ops-8344@visnagar.in,IN
Seva Community Hospital,Patna,,India,25.593153,85.057325,active,957,ops-8883@patna.in,IN
Sanjeevani Medical Post,Rajkot,,India,22.497983,71.017182,active,1222,ops-7188@rajkot.in,IN
Shraddha Care Hub,Varanasi,,India,25.169844,82.945628,pending,776,ops-7925@varanasi.in,IN
Pragati Medical Post,Vasai-Virar,,India,19.462712,72.907499,active,442,ops-3553@vasai-virar.in,IN
Jeevan Clinic,Mumbai,,India,19.271223,73.077872,active,631,ops-7249@mumbai.in,IN
Sanjeevani Care Hub,Ghaziabad,,India,28.661461,77.53143,active,520,ops-9801@ghaziabad.in,IN
Jeevan Medical Post,Kanpur,,India,26.77619,80.663152,active,960,ops-5215@kanpur.in,IN
Nirmal Medical Post,Ghaziabad,,India,28.686048,77.449117,pending,322,ops-8431@ghaziabad.in,IN
Seva Community Hospital,Trichy,,India,10.829707,78.682437,active,402,ops-8878@trichy.in,IN
Ujjwal Health Centre,Jaipur,,India,26.951467,75.782904,active,517,ops-8688@jaipur.in,IN
Aarogya Care Hub,Nagpur,,India,21.259225,78.815101,active,1088,ops-1068@nagpur.in,IN
Jeevan Medical Post,Faridabad,,India,28.383288,77.119997,pending,742,ops-9051@faridabad.in,IN
Jeevan Medical Post,Rajkot,,India,22.692908,70.711756,pending,903,ops-7113@rajkot.in,IN
Jeevan Clinic,Ghaziabad,,India,28.305422,77.558127,active,469,ops-2167@ghaziabad.in,IN
Jagruti Health Centre,Ahmedabad,,India,23.0692,72.335559,pending,819,ops-7304@ahmedabad.in,IN
Nirmal Community Hospital,Nagpur,,India,21.131172,79.413833,active,824,ops-8148@nagpur.in,IN
Jatan Community Hospital,Coimbatore,,India,11.168523,76.544577,revoked,974,ops-9005@coimbatore.in,IN
Jeevan Health Centre,Hyderabad,,India,17.546648,78.476669,active,897,ops-7313@hyderabad.in,IN
Aarogya Community Hospital,Bhopal,,India,23.157269,77.407254,active,518,ops-8827@bhopal.in,IN
Nirmal Care Hub,Mumbai,,India,18.950869,73.091159,active,638,ops-3422@mumbai.in,IN
Nirmal Health Centre,Srinagar,,India,33.874373,74.785009,pending,852,ops-3414@srinagar.in,IN
Aarogya Clinic,Jodhpur,,India,26.314799,73.070311,active,1284,ops-3644@jodhpur.in,IN
Jeevan Care Hub,Kolkata,,India,22.521074,88.34734,active,904,ops-7297@kolkata.in,IN
Ujjwal Medical Post,Kolkata,,India,22.529094,88.144595,pending,855,ops-9495@kolkata.in,IN
Nirmal Community Hospital,Lucknow,,India,26.880392,80.844843,active,798,ops-7993@lucknow.in,IN
Jatan Medical Post,Coimbatore,,India,11.056916,76.844058,active,973,ops-9735@coimbatore.in,IN
Disha Medical Post,Amritsar,,India,31.521781,74.979523,pending,657,ops-6045@amritsar.in,IN
Jatan Care Hub,Kolkata,,India,22.54198,88.268788,active,335,ops-2790@kolkata.in,IN
Nirmal Health Centre,Nashik,,India,19.966562,73.982116,active,1021,ops-3338@nashik.in,IN
Aarogya Health Centre,Rajkot,,India,22.241943,71.000399,active,663,ops-6047@rajkot.in,IN
Seva Clinic,Ranchi,,India,23.543301,85.157531,active,808,ops-1025@ranchi.in,IN
Jeevan Community Hospital,Kalyan,,India,19.412963,73.174501,active,619,ops-9600@kalyan.in,IN
Sanjeevani Community Hospital,Vasai-Virar,,India,19.393574,72.811411,active,610,ops-3795@vasai-virar.in,IN
Ujjwal Medical Post,Kanpur,,India,26.335048,80.215445,active,780,ops-3200@kanpur.in,IN
Seva Medical Post,Kanpur,,India,26.513412,80.278995,active,1003,ops-9234@kanpur.in,IN
Sanjeevani Health Centre,Visnagar,,India,23.854097,72.309939,active,1007,ops-4482@visnagar.in,IN
Pragati Health Centre,Hyderabad,,India,17.218476,78.336708,active,1161,ops-3993@hyderabad.in,IN
Sahyog Care Hub,Visakhapatnam,,India,17.96487,83.304725,active,1129,ops-7697@visakhapatnam.in,IN
Seva Community Hospital,Pune,,India,18.44647,73.770637,active,958,ops-3721@pune.in,IN
Seva Community Hospital,Kolkata,,India,22.38499,88.382492,active,1296,ops-7188@kolkata.in,IN
Aarogya Care Hub,Chennai,,India,12.860613,80.344573,active,320,ops-6605@chennai.in,IN
Sahyog Clinic,Bhopal,,India,23.485005,77.366304,active,682,ops-8829@bhopal.in,IN
